Date,strategy_returns,benchmark_returns,strategy_equity_curve,benchmark_equity_curve
2021-11-04,0.004262283778942521,0.0035443317751897574,1.0042622837789426,1.0035443317751898
2021-11-05,0.00547944666968707,0.005591252918350609,1.0097650854052873,1.009155401948922
2021-11-08,0.0023475474281646146,0.004390064222386192,1.012135556834581,1.0135856589738457
2021-11-09,0.002827483661293284,0.0020395968301925027,1.0149973535845447,1.0156529650710173
2021-11-10,6.23500531055643e-05,-0.0061064602379534705,1.0150606387234427,1.0094509206242517
2021-11-11,0.0030549050654400055,0.004973845413999367,1.0181615526104077,1.0144717734564561
2021-11-12,0.004281239048956786,0.009897835652876275,1.0225205456075899,1.02451284834461
2021-11-15,-0.001901057533770828,-0.004035562897793499,1.020576675220927,1.0203783623055178
2021-11-16,-0.0017752638752444704,0.0011576634078340753,1.0187648823174902,1.0215596169977046
2021-11-17,0.001417463878057984,-0.002890842805590821,1.0202089447384093,1.0186064487284248
2021-11-18,-0.0007433799895132098,0.0,1.0194505418237683,1.0186064487284248
2021-11-19,-0.003034682179392839,-0.004349269487571528,1.0163568334317232,1.0141762547811266
2021-11-22,-0.008837298453116722,-0.005824212560777031,1.0073749847598223,1.0082694766991886
2021-11-23,-0.0011853553895190606,0.0017576937576471163,1.0061808873923705,1.0100417056644089
2021-11-24,0.0009091727488577228,0.004093443957344345,1.0070956796356092,1.0141762547811266
2021-11-25,0.003331692510740025,0.006115413859427932,1.0104510127690498,1.0203783623055178
2021-11-26,-0.008209425606459163,-0.02489158689584614,1.002155790350751,0.9949795256335489
2021-11-29,-0.0012949614176673673,0.0011874686586503813,1.0008580372677547,0.9961610326362376
2021-11-30,-0.009435329584007933,-0.021642512664617253,0.9914146118193301,0.9746016048714096
2021-12-01,-0.0025621267739222627,-0.010606097575735274,0.98887448189833,0.9642648851526752
2021-12-02,0.0035110016648045306,0.014701684233277001,0.9923464218505579,0.9784412030114269
2021-12-03,-2.5103351837435332e-05,-0.006942888271433856,0.9923215106291855,0.9716479950587512
2021-12-06,0.0027853431335122247,0.01215826742189896,0.995085466535053,0.9834615512226275
2021-12-07,0.005142675195727697,0.013813930726707113,1.000202867881432,0.9970470209635968
2021-12-08,0.0004123306029254815,-0.0035545760532564863,1.0006152821329934,0.9935029414989088
2021-12-09,-0.003216558674703157,-0.00713432180261675,0.997396744367208,0.9864149718024093
2021-12-10,-0.00023612566206226981,-0.001197523076954532,0.9971612334006056,0.9852337171102225
2021-12-13,-0.0019403088124489987,-0.00779396884064254,0.9952264326720058,0.977554836218315
2021-12-14,-0.003394911497224073,-0.003323084896495243,0.9918477270133864,0.974306338506582
2021-12-15,0.0025836056530896823,0.005152935217246357,0.9944102704079023,0.9793268759506589
2021-12-16,0.0029928940162072372,-0.0006031918218911692,0.9973864349558611,0.9787361539881273
2021-12-17,-7.546990328961556e-05,-0.00030135902868044795,0.9973111622980726,0.978441203011427
2021-12-20,-0.004751943169022016,-0.00965916050465132,0.9925719963330009,0.9689902823871755
2021-12-21,0.006050955179356582,0.018591877160788473,0.9985780049950964,0.9870056306873156
2021-12-22,0.004743998524864134,0.007181222070575366,1.0033152575777549,0.9940935373061895
2021-12-23,0.004487433910785865,0.007724124680422051,1.0078175684878181,1.0017720397323444
2021-12-24,-0.000802302426194762,0.000589802963496977,1.0070089940074587,1.002362887850127
2021-12-29,-0.0003789047364556654,0.005008954157657897,1.0066274335299759,1.0073836776047058
2021-12-30,-0.0011479999961284343,-0.014358939294409567,1.0054718252401806,0.9929187165318007
2021-12-31,0.00024328622123909738,-0.003839283349021394,1.0057164426811058,0.9891066202364885
2022-01-04,-0.00215034151491762,0.001186037636893733,1.0035538088621734,0.9902797379149898
2022-01-05,-0.004804813203547381,-0.008883725486773963,0.9987319202708821,0.9814823645682386
2022-01-06,-0.002379436927142631,0.0014939029543417082,0.9963555006594735,0.9829486039723013
2022-01-07,0.0009581843855741678,0.00029820656377865795,0.9973101929426864,0.983241725697863
2022-01-10,0.0009689925527859578,-0.0005966202425550238,0.9982765790924655,0.9826551037809869
2022-01-11,0.006286431473679587,0.010444776311975934,1.0045521763987098,0.9929187165318007
2022-01-12,0.0024228347195834107,0.005316043185727759,1.0069860402893216,0.9981971153088012
