Date,cash,gold,equities,short_bonds
2020-01-02,,12.800000190734863,22.995849609375,23.28633689880371
2020-01-03,,13.0,22.945106506347656,23.3287410736084
2020-01-06,,13.100000381469727,23.012767791748047,23.303302764892578
2020-01-07,,13.15999984741211,23.097341537475586,23.311782836914062
2020-01-08,,13.069999694824219,23.097341537475586,23.28633689880371
2020-01-09,,12.979999542236328,23.207286834716797,23.303302764892578
2020-01-10,,13.069999694824219,23.224201202392578,23.303302764892578
2020-01-13,,12.970000267028809,23.291858673095703,23.294818878173828
2020-01-14,,12.949999809265137,23.36797523498535,23.311782836914062
2020-01-15,,13.039999961853027,23.444093704223633,23.337223052978516
2020-01-16,,13.020000457763672,23.537126541137695,23.337223052978516
2020-01-17,,13.079999923706055,23.638620376586914,23.3287410736084
2020-01-20,,13.029999732971191,23.689361572265625,23.337223052978516
2020-01-21,,13.079999923706055,23.672449111938477,23.37114906311035
2020-01-22,,13.0600004196167,23.69781494140625,23.405067443847656
2020-01-23,,13.09000015258789,23.731651306152344,23.41354751586914
2020-01-24,,13.180000305175781,23.66398811340332,23.455936431884766
2020-01-27,,13.239999771118164,23.503299713134766,23.492483139038086
2020-01-28,,13.149999618530273,23.587871551513672,23.441495895385742
2020-01-29,,13.199999809265137,23.596328735351562,23.47547721862793
2020-01-30,,13.229999542236328,23.587871551513672,23.48398780822754
2020-01-31,,13.3100004196167,23.359519958496094,23.48398780822754
2020-02-03,,13.220000267028809,23.418725967407227,23.500972747802734
2020-02-04,,13.050000190734863,23.604787826538086,23.47547721862793
2020-02-05,,13.069999694824219,23.79930305480957,23.458494186401367
2020-02-06,,13.119999885559082,23.917713165283203,23.466997146606445
2020-02-07,,13.170000076293945,23.79085350036621,23.47547721862793
2020-02-10,,13.199999809265137,23.917713165283203,23.492483139038086
2020-02-11,,13.170000076293945,23.968460083007812,23.48398780822754
2020-02-12,,13.140000343322754,24.04457664489746,23.466997146606445
2020-02-13,,13.1899995803833,24.02766227722168,23.466997146606445
2020-02-14,,13.270000457763672,24.086864471435547,23.48398780822754
2020-02-18,,13.449999809265137,24.112232208251953,23.500972747802734
2020-02-19,,13.510000228881836,24.1883544921875,23.492483139038086
2020-02-20,,13.59000015258789,24.20526695251465,23.517969131469727
2020-02-21,,13.760000228881836,24.086864471435547,23.534963607788086
2020-02-24,,13.920000076293945,23.69781494140625,23.56305694580078
2020-02-25,,13.699999809265137,23.181915283203125,23.57155990600586
2020-02-26,,13.770000457763672,22.995849609375,23.580078125
2020-02-27,,13.869999885559082,22.615264892578125,23.588586807250977
2020-02-28,,13.229999542236328,21.99786949157715,23.63114356994629
2020-03-02,,13.300000190734863,22.369998931884766,23.63114356994629
2020-03-03,,13.720000267028809,22.175477981567383,23.77586555480957
2020-03-04,,13.75,22.682924270629883,23.79288673400879
2020-03-05,,14.029999732971191,22.361539840698242,23.87801742553711
2020-03-06,,13.970000267028809,21.87946319580078,23.903560638427734
2020-03-09,,14.050000190734863,19.60440444946289,23.895050048828125
2020-03-10,,13.779999732971191,20.23025894165039,23.886531829833984
2020-03-11,,13.739999771118164,19.283021926879883,23.809919357299805
2020-03-12,,13.130000114440918,16.948760986328125,23.15444564819336
2020-03-13,,12.710000038146973,18.521852493286133,23.384288787841797
2020-03-16,,12.550000190734863,16.728866577148438,22.16697120666504
2020-03-17,,12.739999771118164,17.185575485229492,22.558557510375977
2020-03-18,,12.359999656677246,16.001529693603516,21.834978103637695
2020-03-19,,12.15999984741211,16.492053985595703,22.66071891784668
2020-03-20,,12.40999984741211,16.086103439331055,22.813945770263672
2020-03-23,,13.069999694824219,15.198066711425781,22.967166900634766
2020-03-24,,13.710000038146973,17.024879455566406,23.077838897705078
2020-03-25,,13.529999732971191,17.74137306213379,23.233917236328125
2020-03-26,,13.75,18.11758041381836,23.25950050354004
2020-03-27,,13.609999656677246,17.202720642089844,23.43009376525879
2020-03-30,,13.649999618530273,17.69862174987793,23.353330612182617
2020-03-31,,13.180000305175781,18.109027862548828,23.600679397583008
2020-04-01,,13.350000381469727,17.510526657104492,23.651853561401367
2020-04-02,,13.569999694824219,17.792675018310547,23.549503326416016
2020-04-03,,13.600000381469727,17.60457420349121,23.48125648498535
2020-04-06,,13.960000038146973,18.468128204345703,23.583621978759766
2020-04-07,,13.899999618530273,18.502330780029297,23.53243637084961
