Date,cash,gold,equities,short_bonds
2021-11-04,-9.921962876091595e-05,0.010316342429423031,0.00354382648357765,0.0018303140962450115
2021-11-05,9.922947427254414e-05,0.012934005410819793,0.005591757514472162,0.0010963559618790697
2021-11-08,0.0,0.004704280529963523,0.004389938388474457,-0.0014601807286457325
2021-11-09,0.0,0.007357900451837596,0.0020394722389505127,0.0010964405172124714
2021-11-10,0.0,0.010624159558700885,-0.00610627430071542,-0.0018256363311580648
2021-11-11,0.0,0.0052562366821609086,0.004973657331225345,0.0
2021-11-12,0.0,0.0032679862818003613,0.009898022801720696,0.0
2021-11-15,0.0,-0.0019544420781724137,-0.004035931811272153,0.0
2021-11-16,0.0,-0.0065273779234600315,0.0011579727835595577,-0.0021943274073201735
2021-11-17,0.0,0.007884355023241252,-0.0028910278662706013,0.0018329182831002822
2021-11-18,0.0,-0.00260755941689339,0.0,-0.0003661187416627021
2021-11-19,0.00020047680346957364,-0.006535972563600612,-0.004349022324547813,0.00036625283368940664
2021-11-22,0.0,-0.0250000078427165,-0.005824274032205201,-0.0021955252945233816
2021-11-23,0.0,-0.007422379145909375,0.0017575685271238317,0.00022058291633308968
2021-11-24,0.0,-0.0013596504222844752,0.0040936315645410115,-0.0007346384320418009
2021-11-25,0.0,0.004765190639760997,0.006115039923245247,0.0
2021-11-26,0.0,-0.002032566814382797,-0.024891469415040723,0.00404221213503253
2021-11-29,0.0,-0.006109925438593122,0.0011874688092117225,-0.000731744504032017
2021-11-30,0.0001198368305965758,-0.007513702716662407,-0.021642388764016918,0.0
2021-12-01,0.00010033914276008638,0.003441169418703094,-0.0106062270186279,0.0010988160043989836
2021-12-02,0.0,-0.006172850004035779,0.014701489910939669,-0.0003661333450689641
2021-12-03,0.0,0.010352006526844537,-0.006942310302001209,-0.000731744504032017
2021-12-06,0.0,-0.00478146494924514,0.012157939673882234,-0.0010988951014336834
2021-12-07,0.0,0.0034317221538875398,0.013813931612710162,-0.0022001288166118016
2021-12-08,0.0,0.004787940859928508,-0.003554449749238686,0.0018375495128528652
2021-12-09,0.0,-0.005445876514039161,-0.0071343848397782406,0.002567692338889982
2021-12-10,0.0,0.0,-0.0011976509696310922,0.0007323457003549638
2021-12-13,0.0,0.0020534351369265735,-0.007793841792598344,0.0010964908817876484
2021-12-14,0.0,-0.00819671330225158,-0.003323084896495243,-0.0007303772914099005
2021-12-15,0.0,0.0027548182225876072,0.0051527409940652635,0.0003653371808045591
2021-12-16,0.0,0.010989000192372256,-0.0006029987109147372,0.0018270444231043292
2021-12-17,0.00019959553125614704,0.0,-0.00030168126887364366,0.0
2021-12-20,0.0,-0.004755478751948705,-0.009658905748211266,-0.0007293904667673434
2021-12-21,0.0,0.0,0.018591943467295646,-0.0018245707388407917
2021-12-22,0.0,0.008191183778708977,0.007181158162504975,0.0007307833814680365
2021-12-23,0.0,0.006770441753293666,0.007724378980171309,0.0003654404425175173
2021-12-24,0.0,-0.004034933853674816,0.0005896769200137708,0.0
2021-12-29,-0.00010022052055880248,-0.008102689792935491,0.005008827984594788,-0.00036530694458591917
2021-12-30,0.0,0.015656943667839318,-0.014358814962902366,-0.00014658642966269841
2021-12-31,0.0003205253073323977,0.004691668529910986,-0.0038393466325989944,0.0014643432651650912
